age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass__Private,workclass__Self-emp-not-inc,workclass__Self-emp-inc,workclass__Federal-gov,workclass__Local-gov,workclass__State-gov,workclass__Without-pay,workclass__Never-worked,workclass__Missing,education__Bachelors,education__Some-college,education__11th,education__HS-grad,education__Prof-school,education__Assoc-acdm,education__Assoc-voc,education__9th,education__7th-8th,education__12th,education__Masters,education__1st-4th,education__10th,education__Doctorate,education__5th-6th,education__Preschool,education__Missing,marital-status__Married-civ-spouse,marital-status__Divorced,marital-status__Never-married,marital-status__Separated,marital-status__Widowed,marital-status__Married-spouse-absent,marital-status__Married-AF-spouse,marital-status__Missing,occupation__Tech-support,occupation__Craft-repair,occupation__Other-service,occupation__Sales,occupation__Exec-managerial,occupation__Prof-specialty,occupation__Handlers-cleaners,occupation__Machine-op-inspct,occupation__Adm-clerical,occupation__Farming-fishing,occupation__Transport-moving,occupation__Priv-house-serv,occupation__Protective-serv,occupation__Armed-Forces,occupation__Missing,relationship__Wife,relationship__Own-child,relationship__Husband,relationship__Not-in-family,relationship__Other-relative,relationship__Unmarried,relationship__Missing,race__White,race__Asian-Pac-Islander,race__Amer-Indian-Eskimo,race__Other,race__Black,race__Missing,sex__Female,sex__Male,sex__Missing,native-country__United-States,native-country__Cambodia,native-country__England,native-country__Puerto-Rico,native-country__Canada,native-country__Germany,native-country__Outlying-US(Guam-USVI-etc),native-country__India,native-country__Japan,native-country__Greece,native-country__South,native-country__China,native-country__Cuba,native-country__Iran,native-country__Honduras,native-country__Philippines,native-country__Italy,native-country__Poland,native-country__Jamaica,native-country__Vietnam,native-country__Mexico,native-country__Portugal,native-country__Ireland,native-country__France,native-country__Dominican-Republic,native-country__Laos,native-country__Ecuador,native-country__Taiwan,native-country__Haiti,native-country__Columbia,native-country__Hungary,native-country__Guatemala,native-country__Nicaragua,native-country__Scotland,native-country__Thailand,native-country__Yugoslavia,native-country__El-Salvador,native-country__Trinadad&Tobago,native-country__Peru,native-country__Hong,native-country__Holand-Netherlands,native-country__Missing,income__<=50K,income__>50K
-0.68353665,-0.918445,0.56382906,-0.9996003,-0.7667399,0.12872297,1.0,2.4136392e-08,1.0140634e-06,4.5191455e-09,1.4044737e-07,1.1753624e-09,7.807906e-09,3.353885e-11,8.7862156e-10,0.91237146,0.02212647,2.502486e-10,0.05069779,3.563691e-06,1.679819e-08,1.2227425e-10,2.1853586e-08,2.5661406e-09,4.2843795e-10,4.7063344e-09,2.0346025e-07,1.2875836e-08,8.9094077e-10,4.79548e-09,1.4045249e-06,5.4511317e-12,0.8294826,2.5416629e-09,0.19464871,2.739457e-10,4.8127136e-10,3.8154955e-09,1.18461525e-08,4.312118e-12,9.3678516e-11,0.00024633147,1.5856461e-06,3.553429e-09,0.9997559,9.919361e-08,4.2037986e-09,5.827106e-07,1.7708756e-07,1.3286909e-09,8.5559195e-06,1.4511976e-06,7.332422e-11,9.9123494e-11,9.683344e-10,4.000527e-09,3.3043293e-09,0.8470908,0.14165653,2.4255434e-10,8.202116e-09,4.4796107e-12,1.0,7.419965e-09,2.2922935e-09,5.9549243e-10,5.9224836e-10,5.121119e-12,1.00671355e-11,1.0,4.34139e-12,1.0,1.4456067e-10,1.2112344e-09,4.855755e-10,2.3334457e-10,1.3221275e-10,2.153048e-10,5.7121468e-09,1.8713783e-10,2.8100058e-10,9.8620355e-11,1.1146439e-09,1.2721786e-10,5.7623495e-10,7.7309187e-10,2.1492241e-10,2.6970423e-10,9.076798e-10,8.531158e-10,1.04834946e-10,2.491311e-08,4.755367e-09,5.931278e-10,3.011725e-10,1.6178952e-09,3.2123654e-11,7.7959234e-10,5.135921e-11,7.1982434e-11,9.9394604e-11,4.7938864e-10,2.3521016e-10,1.4678745e-08,7.7227685e-10,3.8577218e-11,1.6156995e-09,4.9189232e-08,6.244871e-11,1.6078135e-10,2.3514926e-09,4.5545477e-12,5.7735383e-10,0.045861922,0.95712423
-0.53820676,-0.89841783,0.20873167,-0.99064773,-0.9999979,-0.12254168,1.0,9.358815e-11,3.4215172e-10,2.5312843e-10,1.7218289e-10,6.795151e-13,2.4271852e-11,4.1010012e-13,2.8184262e-11,0.003389949,0.9868528,6.640189e-12,0.0027743645,1.0481336e-06,3.8129036e-10,1.9834948e-11,6.947496e-11,1.2835593e-09,9.4254144e-12,2.0698356e-10,6.008058e-09,1.345784e-10,1.1472113e-09,3.9231125e-09,2.4828008e-08,5.952062e-14,1.0,7.459132e-12,4.117588e-12,2.1718534e-12,1.5584516e-12,8.333967e-09,1.3751439e-10,5.8066684e-14,1.0753731e-12,0.98489153,8.551546e-08,3.3077288e-06,0.011004366,1.6710278e-08,5.897059e-12,2.4592393e-09,6.92952e-07,4.8744017e-12,2.793185e-07,1.3841863e-09,3.368757e-12,2.1627138e-12,5.6993724e-12,1.6258818e-10,1.0342157e-12,1.0,1.8126555e-12,1.44372925e-11,7.916569e-12,3.9547318e-14,1.0,8.450201e-10,1.3667045e-12,1.7871257e-11,1.8975846e-10,3.2549664e-14,2.8102931e-19,1.0,5.3336028e-14,1.0,3.1463937e-12,7.0868075e-11,5.127283e-13,1.9762696e-12,6.871924e-12,3.279942e-12,5.299663e-10,2.919445e-12,1.1479253e-12,7.877253e-13,1.8064232e-11,1.9661325e-13,1.2561725e-11,8.156421e-13,5.0821964e-12,2.1356948e-13,3.6661373e-12,3.6527901e-13,1.5843378e-12,1.3817406e-10,1.4380131e-11,4.941417e-12,6.028547e-13,6.7413707e-13,3.3924775e-13,3.5221324e-13,1.0124379e-12,1.1401809e-12,1.3289519e-13,2.7367438e-12,4.3280763e-13,1.2364251e-09,4.212694e-12,3.9799625e-13,3.6895886e-12,1.0820486e-10,8.437529e-13,1.9293512e-13,2.3635637e-11,5.2428368e-14,1.1586113e-12,2.0515203e-17,1.0
-0.1279647,-0.7677839,0.21965124,-0.9961139,-0.9999999,-0.17099606,1.0,6.6676127e-09,3.376135e-12,7.414706e-08,1.0537783e-10,5.201762e-13,7.029387e-12,2.1180078e-13,1.24046546e-11,2.3551622e-06,0.9997266,3.96898e-12,4.7235367e-06,8.295382e-09,8.605393e-12,3.408428e-12,1.7480625e-11,9.504881e-09,5.1970836e-12,1.2843857e-11,4.8405275e-09,8.224306e-11,6.195742e-11,1.8568384e-08,3.6435965e-10,3.7034744e-14,1.0,7.253492e-12,7.2799073e-09,7.016866e-11,1.5850127e-11,1.31207125e-05,2.8625591e-11,2.5640497e-14,3.888256e-13,0.99999976,1.7398981e-09,1.7957859e-09,9.115713e-10,4.6245358e-11,7.459588e-12,8.729455e-10,1.6124209e-09,1.1907389e-11,2.2856628e-12,4.2692394e-10,6.1032283e-13,1.6374354e-12,5.679262e-13,2.4107234e-11,2.6796765e-09,1.0,2.14434e-09,2.9658155e-12,8.090528e-12,2.8539898e-14,1.0,4.854593e-08,9.412749e-12,3.2137906e-09,1.4897513e-07,1.8187905e-14,7.112456e-18,1.0,3.7142195e-14,1.0,2.976095e-12,1.4424804e-10,3.5991164e-13,3.9398814e-12,7.798666e-12,2.2029648e-12,2.8024309e-11,4.785614e-12,2.112667e-12,7.791719e-13,4.5156854e-11,3.013329e-13,8.107908e-12,1.1382863e-12,8.691471e-11,7.8575503e-13,7.1365615e-11,4.4658413e-12,1.2400248e-12,8.602624e-11,2.297478e-11,5.7729564e-13,4.0903926e-13,1.9988893e-13,3.4968634e-13,4.2084755e-13,5.4195407e-13,1.0483764e-12,1.1072957e-12,1.2558395e-11,1.2587688e-13,7.191213e-07,1.6247021e-12,2.6289493e-13,4.259215e-12,1.3430146e-10,4.0513293e-13,2.0107127e-13,2.168326e-13,3.6797314e-14,2.3205066e-11,0.5320079,0.48890293
-0.23452502,-0.8658296,0.59901065,-0.99848634,-0.9991774,-0.15512851,1.0,8.865118e-09,9.793066e-07,9.666539e-09,1.0394546e-08,2.9062932e-09,5.066406e-10,6.8781656e-12,4.620095e-10,0.98699677,0.0045904284,1.3984894e-10,1.931321e-05,9.114119e-09,5.5282007e-10,1.9614636e-11,9.823849e-11,1.7680811e-07,1.6314797e-10,9.1751967e-10,1.2421507e-08,3.822532e-09,2.1818716e-09,5.9524314e-07,3.8579833e-09,9.894735e-13,1.0,1.1334697e-09,1.032568e-08,1.06074914e-11,8.0774575e-11,1.1435265e-08,2.7479063e-08,9.883643e-13,2.4649517e-11,8.782361e-06,5.4757255e-08,6.9220305e-06,9.09874e-06,0.00021122716,8.614681e-10,1.5339742e-08,0.9992944,1.9476709e-10,7.872255e-06,3.8499587e-07,1.3920803e-11,2.0628034e-11,7.747477e-11,3.244984e-08,1.1974005e-11,1.0,2.4431483e-08,2.9034553e-10,2.2252902e-10,9.710147e-13,1.0,8.97441e-09,2.726562e-09,1.9110025e-09,8.317956e-10,9.091807e-13,5.7449854e-11,1.0,6.751227e-13,1.0,4.1146617e-11,2.414064e-11,6.082761e-10,4.9227646e-11,1.01203344e-10,5.828103e-11,9.186619e-09,3.9758995e-11,1.0937349e-10,4.233857e-11,4.436209e-10,3.3449842e-12,1.0057704e-09,2.0893176e-11,1.8706077e-10,1.4854196e-10,1.7523272e-09,4.2743135e-11,1.6841249e-11,1.5535461e-08,9.756538e-10,1.2232282e-09,1.2629882e-11,2.3585447e-09,7.22261e-12,1.4298217e-11,8.594863e-12,1.3873064e-11,2.0846097e-10,9.1582845e-11,1.5438144e-10,6.455289e-09,8.7808877e-10,9.351869e-12,2.8838398e-10,2.6420242e-09,1.3895892e-11,1.465663e-10,2.4240773e-10,9.95068e-13,1.9864185e-10,8.388982e-07,0.99999917
-0.52311563,-0.92532414,0.59720695,-0.996123,-0.97066754,-0.10076256,1.0,6.0166467e-09,1.7628028e-06,4.730246e-09,1.3757388e-07,2.0014572e-09,1.7796304e-09,2.6163762e-11,8.6673224e-10,0.9866122,0.0049466784,3.927865e-10,0.0003109495,6.3323193e-07,6.6657813e-09,1.9051495e-10,6.3506134e-10,8.073492e-09,4.3856965e-10,8.959559e-10,4.6393147e-08,2.055406e-09,5.668235e-09,4.2026866e-08,6.752931e-08,6.0591445e-12,1.0,4.317581e-09,1.2742599e-10,4.492302e-11,1.6514416e-10,2.130216e-08,2.8022747e-08,5.2177225e-12,9.0202894e-11,0.00047367797,5.553311e-07,3.7262163e-07,0.998295,8.513596e-06,1.0781885e-09,6.138208e-08,0.00020596183,3.415069e-10,0.00054766954,1.8232599e-07,1.3711629e-10,9.8941216e-11,3.3550127e-10,1.6486705e-08,6.1473587e-12,1.0,1.2439229e-10,8.3490936e-10,1.7633511e-09,5.2428127e-12,1.0,2.1189951e-08,1.2172491e-09,1.7409039e-09,1.3888568e-09,3.6634532e-12,8.6160064e-15,1.0,4.7017516e-12,0.9999999,1.4182437e-10,1.6159892e-09,9.454593e-10,1.4576089e-10,2.831143e-10,1.6351026e-10,2.469407e-08,1.2755949e-10,1.5253337e-10,8.686549e-11,6.510546e-10,3.0769467e-11,1.2324671e-09,9.9230756e-11,1.7535767e-10,1.5890121e-10,1.138946e-09,1.0761929e-10,9.482635e-11,2.5842317e-08,3.8746717e-09,3.3885125e-10,4.170293e-11,2.3025077e-09,2.8088469e-11,1.7405577e-10,4.5886878e-11,5.7041063e-11,1.412216e-10,2.8423378e-10,4.1013043e-10,7.400546e-09,1.5509044e-09,3.515297e-11,3.9608014e-10,3.4016272e-09,6.1334944e-11,1.8069135e-10,2.119362e-09,4.6480116e-12,3.477255e-10,1.2764166e-15,1.0
-0.48345792,-0.90426666,0.22221017,-0.99944204,-1.0,-0.17103106,1.0,1.5599209e-08,4.176803e-08,1.0930723e-09,1.2165342e-09,2.012686e-12,3.3252565e-09,4.3984564e-13,2.69107e-11,3.2653683e-05,0.99904376,6.5766247e-12,3.1581683e-05,1.2616991e-09,1.836043e-11,2.1209397e-12,7.8767805e-11,3.9149723e-09,1.4103258e-11,1.0125726e-09,9.909808e-07,2.0038522e-09,7.9595464e-10,5.194693e-09,1.0842706e-08,4.8899473e-14,0.99999726,7.913765e-11,2.4496119e-06,3.688005e-12,1.2631503e-10,8.9662777e-10,4.301181e-10,3.4931686e-14,7.8698647e-13,8.7956545e-14,3.4063957e-11,1.0,6.802423e-14,1.1261777e-06,3.0972194e-11,6.6437555e-10,2.997501e-10,8.0271085e-12,2.6295157e-17,1.341504e-10,1.805692e-12,2.351018e-12,6.0761335e-12,3.633494e-09,4.1507687e-06,0.99999344,5.8890783e-12,3.14393e-11,1.4960679e-10,5.2675044e-14,1.0,5.660105e-11,2.2027025e-10,3.0859038e-11,8.0104874e-11,4.0442167e-14,4.470529e-12,1.0,3.4682926e-14,1.0,3.0631199e-12,1.0881723e-11,5.414357e-12,8.07371e-12,5.017548e-12,7.29257e-12,1.9816968e-09,3.820048e-12,1.1798151e-11,2.404619e-12,3.914961e-11,8.116108e-12,1.06856156e-10,2.0098903e-11,3.0483716e-10,1.2037414e-11,3.8873683e-12,1.8699584e-10,1.619248e-12,1.8745732e-09,1.106867e-12,1.1259576e-10,3.2046958e-12,2.658227e-11,5.224482e-13,1.6493403e-12,7.5303316e-13,1.9452558e-12,2.7915836e-12,8.816125e-11,5.750837e-12,8.5683877e-10,4.0543326e-11,4.4909183e-13,1.5766344e-10,1.4937342e-08,9.00304e-13,6.041661e-12,1.5028223e-11,5.0080488e-14,1.4805416e-12,1.0,2.0872366e-09
-0.09566468,-0.9307528,0.11197755,-0.99915624,-1.0,-0.07927352,1.0,1.3143739e-07,4.5645578e-08,2.22525e-08,3.7266066e-08,4.931382e-11,1.6913181e-09,2.0145756e-12,8.230442e-11,2.5926432e-05,0.098000236,7.697202e-12,0.87725604,1.3009561e-08,4.1737145e-11,9.144368e-12,1.8507619e-10,3.4708558e-09,2.458144e-11,2.5810223e-10,1.800379e-08,7.470451e-12,6.4007394e-10,1.40740966e-08,6.302461e-08,2.4700698e-13,1.0,9.757947e-11,8.742421e-13,1.0715736e-11,2.1756215e-09,1.2422768e-07,5.367107e-10,2.0226099e-13,2.658535e-12,5.1204825e-06,6.150297e-10,4.3777432e-05,0.9998729,1.4711742e-11,2.043622e-11,8.655031e-10,3.418862e-10,4.1505577e-11,4.4354665e-06,3.8525787e-09,2.2377718e-12,1.0625999e-11,5.6574905e-12,1.2478991e-09,1.5854344e-13,1.0,1.2903715e-12,4.7727905e-11,3.5681056e-09,2.673417e-13,1.0,4.29388e-09,8.5807517e-10,1.6208936e-10,2.2487734e-11,3.2070115e-13,4.0519992e-18,1.0,1.8017932e-13,1.0,1.42292775e-11,7.47337e-09,4.9876662e-11,3.0950815e-11,1.1659342e-11,2.9658397e-11,3.724024e-10,1.914229e-11,3.0091107e-11,6.4026132e-12,7.274098e-11,2.987756e-11,6.863204e-11,1.3740453e-10,1.2241379e-10,8.0462886e-11,4.8497362e-11,1.5965167e-09,6.4894258e-12,3.5021772e-09,6.3080915e-11,1.0654946e-10,1.5654564e-11,1.7535032e-10,1.5184324e-12,2.5347968e-10,3.2907201e-12,7.561625e-12,1.4250301e-11,8.1906537e-10,1.6247401e-11,1.307933e-07,2.614685e-11,2.430348e-12,7.726095e-11,2.6778537e-08,3.054695e-12,2.0397628e-11,2.2365067e-10,2.49628e-13,7.574693e-11,1.0,7.0544945e-11
-0.80859536,-0.81394714,0.09360069,-0.9950338,-1.0,-0.0850251,1.0,7.263378e-08,2.5230527e-09,1.2474042e-09,4.7127257e-11,1.9334458e-11,1.2295071e-08,7.799154e-13,5.509038e-12,4.3072952e-05,0.005350585,1.3211847e-10,0.9858672,1.0649531e-08,2.9191431e-09,8.008375e-12,8.120828e-09,4.338321e-11,4.016633e-11,4.561005e-09,1.8677005e-05,3.4427114e-07,1.5726158e-10,2.0025138e-10,1.09341734e-07,8.3075684e-14,6.2760745e-18,1.7681579e-12,1.0,6.060095e-11,8.166855e-12,8.417413e-11,2.9208908e-10,4.2456978e-14,2.3190642e-11,0.030428914,1.3167031e-08,0.932209,2.1905404e-13,2.1133243e-08,3.6261376e-11,5.8037988e-11,2.1470083e-09,2.1327672e-10,1.3880021e-08,4.7462962e-09,5.0112426e-13,2.9866888e-12,1.3032638e-11,2.7255655e-07,1.0,5.120705e-17,0.00021181181,3.607154e-11,4.1350305e-11,6.828786e-14,1.0,1.3286275e-09,4.336071e-11,1.2842411e-11,4.2627443e-11,7.1670514e-14,0.9999939,9.9687e-06,6.8157604e-14,1.0,8.379748e-12,1.6374424e-11,3.2251472e-11,9.613992e-12,8.0034885e-12,1.7294608e-11,3.780382e-10,5.881075e-12,2.0657878e-11,4.5336512e-12,2.7339278e-11,1.4068163e-12,1.6398615e-11,2.5082669e-11,7.759999e-12,1.6266152e-12,8.028647e-10,2.3851008e-12,2.1635597e-12,4.4634446e-10,4.2795944e-07,1.0396735e-10,5.2587062e-12,1.8631559e-09,3.5857824e-13,1.8925222e-12,1.1784628e-12,2.9370159e-12,1.1546932e-12,3.7947923e-11,3.2890043e-10,1.9585906e-09,1.6777248e-08,8.3062897e-13,1.459367e-10,2.396436e-09,1.938633e-12,1.3522176e-12,2.6499514e-10,6.7735375e-14,3.0031363e-11,1.0,1.1211015e-14
0.11780098,-0.7162141,0.08518864,-0.99425817,-0.99822456,-0.16711593,1.0,1.9195335e-08,3.520951e-09,7.499818e-07,5.500151e-10,6.730736e-12,2.169409e-10,1.3892175e-12,2.0302298e-11,1.9814936e-05,2.4638837e-08,1.6850727e-11,0.9999907,1.0417374e-07,8.152417e-11,5.3069407e-12,2.4645758e-11,4.4248175e-10,9.070473e-12,9.158145e-11,1.1653929e-09,3.2432033e-11,6.0799976e-11,6.4090133e-09,1.5149697e-08,2.3188585e-13,1.0,2.8020034e-11,2.6396871e-09,6.231569e-11,2.6344534e-11,2.370761e-06,2.7256092e-10,1.7802583e-13,8.2625833e-13,0.9999989,1.2151515e-10,3.3974512e-09,7.0468222e-09,3.839931e-09,1.3706341e-11,1.1054566e-10,2.1147988e-09,2.0960234e-11,6.32505e-09,3.730481e-09,7.013487e-13,9.6806565e-12,1.1027599e-12,4.852984e-11,8.957048e-10,1.0,3.6118115e-09,3.4047374e-12,5.874161e-11,2.19507e-13,1.0,3.6142367e-06,7.066938e-11,2.3435641e-08,1.0008431e-08,1.6111908e-13,7.305352e-19,1.0,2.2164125e-13,1.0,1.2740915e-11,1.8119982e-09,9.752658e-12,2.4575345e-11,1.6376175e-11,2.2833978e-11,3.0363362e-10,1.3720333e-11,1.9599154e-11,4.5023187e-12,4.5580262e-11,8.569633e-13,1.1435182e-11,2.3648928e-12,1.7533017e-11,6.8213204e-12,1.8822977e-09,1.0916147e-11,6.369179e-12,7.851794e-10,5.616103e-10,5.2313752e-12,2.4964779e-11,9.892344e-12,2.2317317e-12,3.4080593e-11,3.400279e-12,6.2781048e-12,2.3579217e-11,1.17182436e-11,2.6424436e-12,1.8002565e-05,2.6233956e-12,1.956049e-12,1.0368233e-11,2.500407e-09,3.1065302e-12,4.153763e-12,2.411315e-12,2.4805226e-13,7.9543866e-10,0.99913317,0.0009403313
-0.8465188,-0.98136795,0.581101,-0.99997556,-1.0,-0.40110403,1.0,5.2830326e-13,5.0551705e-07,8.862421e-15,3.3253835e-09,3.834264e-14,1.9256774e-14,1.176287e-19,4.9135914e-18,0.99999714,8.726725e-10,3.1886628e-18,2.0298367e-07,2.0137832e-13,3.0425058e-13,8.917545e-19,1.4177845e-13,3.489847e-17,4.1336833e-18,1.4944128e-15,2.8170558e-11,5.5781185e-14,1.6027977e-18,4.1465272e-16,2.8480563e-11,6.9707286e-21,6.6127855e-20,2.6249072e-12,1.0,1.7339593e-15,5.200995e-14,2.3129931e-16,2.4348752e-13,4.031733e-21,2.0122297e-19,5.3079715e-20,1.4486818e-17,8.520279e-21,1.0,8.8503846e-17,6.885827e-17,7.758741e-16,7.827195e-18,1.6390507e-16,2.3816584e-09,4.094563e-12,4.077813e-20,6.831687e-19,8.222854e-17,8.6489e-12,2.7572723e-08,6.177214e-19,1.0,3.113896e-17,3.062721e-13,3.1452996e-21,1.0,7.1620464e-15,6.4940098e-15,9.658266e-16,2.0563691e-18,2.7718338e-21,1.0,1.1623881e-11,9.53727e-22,1.0,2.0341647e-18,1.518212e-16,1.0516313e-15,2.7248299e-17,6.5372684e-19,1.5338415e-17,4.3870488e-15,3.0644955e-18,4.3514624e-16,3.554674e-18,7.423772e-17,2.4964988e-17,1.5355986e-16,2.0664033e-14,1.9497853e-18,1.7980733e-15,3.2403648e-15,4.969654e-14,2.8967819e-19,1.8251405e-13,9.196671e-15,2.53396e-14,1.8429818e-16,3.0517524e-13,8.2729306e-20,5.391258e-14,4.2038575e-19,6.491247e-19,1.3869643e-16,9.525555e-16,1.6358782e-15,1.943039e-15,2.9957058e-14,1.906013e-19,2.2281917e-13,4.4090037e-14,3.7840295e-19,1.01509646e-16,2.2301083e-14,1.3002387e-20,2.8579216e-15,1.0,4.3440363e-14
