age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass__Private,workclass__Self-emp-not-inc,workclass__Self-emp-inc,workclass__Federal-gov,workclass__Local-gov,workclass__State-gov,workclass__Without-pay,workclass__Never-worked,workclass__Missing,education__Bachelors,education__Some-college,education__11th,education__HS-grad,education__Prof-school,education__Assoc-acdm,education__Assoc-voc,education__9th,education__7th-8th,education__12th,education__Masters,education__1st-4th,education__10th,education__Doctorate,education__5th-6th,education__Preschool,education__Missing,marital-status__Married-civ-spouse,marital-status__Divorced,marital-status__Never-married,marital-status__Separated,marital-status__Widowed,marital-status__Married-spouse-absent,marital-status__Married-AF-spouse,marital-status__Missing,occupation__Tech-support,occupation__Craft-repair,occupation__Other-service,occupation__Sales,occupation__Exec-managerial,occupation__Prof-specialty,occupation__Handlers-cleaners,occupation__Machine-op-inspct,occupation__Adm-clerical,occupation__Farming-fishing,occupation__Transport-moving,occupation__Priv-house-serv,occupation__Protective-serv,occupation__Armed-Forces,occupation__Missing,relationship__Wife,relationship__Own-child,relationship__Husband,relationship__Not-in-family,relationship__Other-relative,relationship__Unmarried,relationship__Missing,race__White,race__Asian-Pac-Islander,race__Amer-Indian-Eskimo,race__Other,race__Black,race__Missing,sex__Female,sex__Male,sex__Missing,native-country__United-States,native-country__Cambodia,native-country__England,native-country__Puerto-Rico,native-country__Canada,native-country__Germany,native-country__Outlying-US(Guam-USVI-etc),native-country__India,native-country__Japan,native-country__Greece,native-country__South,native-country__China,native-country__Cuba,native-country__Iran,native-country__Honduras,native-country__Philippines,native-country__Italy,native-country__Poland,native-country__Jamaica,native-country__Vietnam,native-country__Mexico,native-country__Portugal,native-country__Ireland,native-country__France,native-country__Dominican-Republic,native-country__Laos,native-country__Ecuador,native-country__Taiwan,native-country__Haiti,native-country__Columbia,native-country__Hungary,native-country__Guatemala,native-country__Nicaragua,native-country__Scotland,native-country__Thailand,native-country__Yugoslavia,native-country__El-Salvador,native-country__Trinadad&Tobago,native-country__Peru,native-country__Hong,native-country__Holand-Netherlands,native-country__Missing,income__<=50K,income__>50K
-0.76848835,-0.5804541,0.070813045,-0.99894637,-0.99986947,-0.16406639,1.0,8.040872e-11,2.9530703e-08,1.7997183e-06,1.6778455e-07,7.361369e-07,3.7071233e-09,2.0512234e-09,4.5187574e-09,0.0008668495,0.00040047822,4.5588244e-08,0.99570364,1.6204862e-06,5.9769484e-08,1.0181473e-07,4.3638806e-08,6.712916e-08,7.453213e-09,2.6190123e-06,1.1702535e-06,4.8798807e-08,1.0589475e-06,1.5347342e-07,4.649329e-07,4.436139e-11,2.4007115e-06,2.80435e-07,0.9999976,1.2790136e-09,7.5017575e-10,1.7217117e-09,3.0762748e-09,4.1165144e-11,1.1917087e-08,3.3340402e-05,3.8844148e-05,0.002440527,5.3342473e-09,3.6699374e-05,2.906461e-08,1.5733422e-05,0.99987066,4.6393232e-08,4.874327e-08,1.6386687e-07,1.9434722e-08,4.1018836e-10,3.658887e-08,2.2402946e-09,0.019176828,2.1453084e-06,0.9772555,1.1017519e-06,3.3583518e-08,3.9559224e-11,0.9999943,1.4348036e-06,1.8113139e-09,5.43566e-09,4.7572206e-07,4.2976282e-11,0.15434124,0.8359181,5.5189478e-11,1.0,6.5851913e-10,1.4547905e-09,1.7638607e-07,1.5372517e-08,8.0866175e-10,6.134311e-08,2.0137577e-08,4.3129367e-10,1.0162023e-09,9.399141e-10,1.8537624e-09,5.32977e-07,8.377955e-09,1.6251951e-08,2.1483368e-08,2.891464e-09,2.4064454e-08,4.4681386e-07,9.2450947e-10,1.7247825e-08,3.0864011e-09,3.8782355e-09,1.4699143e-08,1.3568159e-09,4.673271e-10,3.5024712e-09,1.5123446e-09,1.216221e-09,5.8836724e-10,4.0448506e-07,1.882647e-08,1.0939905e-08,2.9217073e-08,5.6523836e-10,1.0256333e-08,3.8334544e-09,4.6358712e-09,4.052321e-08,1.0751061e-09,3.8527657e-11,1.0997086e-07,1.0,0.0
-0.4619911,-0.88690007,0.19045994,-0.9024781,-1.0,-0.10369205,1.0,1.8292662e-10,2.4766708e-12,1.5805042e-09,3.8496806e-11,1.4095015e-09,3.336118e-14,3.839989e-13,4.0626964e-13,0.0001077032,0.9965082,5.2326325e-12,0.001176469,1.53777e-09,1.705744e-13,2.166477e-14,5.97997e-12,4.458312e-11,5.5542664e-13,5.4117162e-11,4.5018982e-08,1.4055396e-12,4.5849345e-11,1.3405059e-11,3.932747e-09,1.1094862e-15,0.99999976,1.4484177e-08,1.5151143e-08,5.4186595e-14,3.914029e-14,2.261644e-14,1.3274597e-13,8.5869627e-16,2.7462458e-15,2.0060849e-17,0.00090720423,1.2888635e-16,1.0,3.7836705e-18,8.843947e-15,4.108411e-15,4.5170827e-14,2.7621434e-14,1.7062289e-13,7.80473e-14,1.2604925e-15,1.6514318e-14,3.865328e-12,3.978993e-12,2.5866433e-08,0.9999999,7.6895776e-07,8.837384e-12,7.4168135e-08,1.1587643e-15,0.9999981,5.4434575e-05,5.761096e-14,4.511297e-14,4.11321e-11,6.5506844e-16,2.9520455e-08,1.0,1.5133559e-15,1.0,3.8720024e-14,5.35237e-12,3.2152957e-11,1.8767197e-09,1.24853e-13,3.6482997e-09,8.8988127e-13,3.0904966e-12,3.1859836e-13,6.4652534e-14,1.6090625e-13,4.210011e-12,2.729633e-12,6.3839895e-13,4.0837353e-13,1.2354419e-13,6.980363e-13,6.3308636e-10,4.0527182e-14,1.2149758e-13,2.0790791e-13,1.800164e-14,2.4076057e-09,8.884088e-14,4.473134e-14,1.7592691e-13,8.5589454e-14,2.9211856e-14,9.835773e-15,4.8944694e-12,1.7970936e-14,9.475051e-13,1.1621322e-09,2.9271256e-14,5.0401944e-12,1.1477141e-10,1.273104e-13,1.4055369e-12,2.1932244e-13,1.6274258e-15,5.435318e-09,0.0,1.0
-0.5488103,-0.8040643,0.073232256,-0.99864393,-0.99998194,-0.123554654,0.99998987,1.2392549e-05,5.51409e-10,2.872352e-09,4.725613e-08,7.6064754e-10,3.4767175e-10,7.853314e-12,6.977066e-12,0.00061933114,2.1028845e-07,4.101633e-10,0.99983394,3.916431e-07,1.8418954e-09,5.933974e-09,2.3730737e-10,2.6014377e-06,2.2287116e-12,4.2955037e-08,6.13911e-08,3.1892369e-09,1.1159128e-07,1.60767e-06,4.3684696e-07,5.1052946e-14,0.5707462,1.187486e-08,0.39389953,1.0507232e-11,3.559943e-12,7.826219e-12,1.4465794e-11,5.5073093e-14,7.600483e-11,0.9998627,3.5144652e-07,3.8700204e-05,4.2432415e-08,3.1843717e-06,2.0639536e-10,1.0109108e-06,7.869049e-07,4.9302398e-09,5.1317495e-11,2.0088309e-09,1.2865127e-09,9.307431e-13,3.05097e-11,1.9556312e-12,3.5032156e-06,0.60530835,0.431625,2.488548e-11,5.6769495e-11,4.576487e-14,0.9999926,2.4126299e-09,1.6106089e-11,6.5849125e-11,1.9851507e-09,4.8129608e-14,1.0080297e-11,1.0,6.8733715e-14,1.0,2.2770384e-12,4.733655e-10,1.6808478e-08,1.0918346e-09,3.122367e-12,1.1397082e-10,3.170346e-12,1.4485611e-12,3.0980507e-12,1.5455452e-12,3.6698105e-12,1.2632179e-10,4.35603e-12,2.6136577e-11,3.0017162e-11,1.7162845e-10,4.2783777e-10,6.331453e-11,1.9029867e-12,3.1667832e-10,1.3268965e-11,5.5321216e-11,2.2784689e-11,3.945062e-12,1.0421403e-12,2.581319e-09,2.9654536e-12,9.918605e-12,6.9282653e-12,1.6191918e-09,5.772357e-11,1.7182374e-09,8.090949e-11,9.3817e-13,1.3168687e-12,1.6558243e-08,7.1462016e-12,8.3920726e-10,2.6885393e-12,5.3840338e-14,4.224867e-09,1.0,0.0
-0.06827402,-0.6717661,0.07576595,-0.9952549,-0.99999076,-0.2905704,0.9999255,0.000103063976,2.0698276e-10,1.2741949e-09,1.07687566e-08,2.426919e-09,2.239327e-11,6.9358677e-12,6.026032e-12,0.00042015626,3.2556878e-07,3.964412e-11,0.9997049,2.2948284e-07,1.9051713e-10,1.0323071e-10,8.7675667e-10,4.1225596e-07,2.8891444e-12,1.1803571e-08,5.2425122e-08,3.80831e-10,8.855232e-09,5.488649e-08,1.7216277e-07,6.108688e-14,0.9999969,4.730803e-10,1.9290599e-06,7.300183e-12,3.119962e-12,2.1031384e-12,3.0987025e-11,7.5404174e-14,4.6007794e-12,0.00018585272,1.2151746e-10,0.9997008,4.863462e-12,3.0197045e-09,3.2622124e-11,1.6895222e-09,1.8757846e-05,4.94223e-11,1.23189e-11,4.7613546e-10,4.977295e-12,8.547236e-13,2.7786937e-10,1.2045337e-11,4.2492474e-07,0.999998,1.9902777e-06,5.2753045e-11,2.8420329e-11,5.176669e-14,0.99997866,9.15756e-09,9.007991e-12,1.698276e-11,1.886564e-09,5.3508027e-14,8.632094e-11,1.0,8.9245946e-14,1.0,2.1783337e-12,1.1443654e-10,1.4728883e-09,1.5313796e-10,2.147595e-12,1.6666495e-10,5.4423328e-12,2.1289283e-12,1.6761542e-12,1.5181052e-12,3.1429393e-12,6.172602e-10,2.9056308e-11,2.22717e-11,1.4817148e-11,1.2669113e-11,1.5955996e-10,1.2589922e-09,1.8585745e-12,2.4233054e-10,1.5391974e-11,9.862896e-12,3.5764913e-10,1.9207676e-12,1.5473651e-12,3.4594994e-10,3.4932252e-12,1.0114888e-11,2.9370215e-12,1.2753815e-09,5.0289134e-11,3.5728367e-10,9.582636e-11,1.223511e-12,5.484076e-12,2.3350598e-08,9.398971e-12,2.3239805e-10,3.1694872e-12,5.362143e-14,7.656052e-10,0.0,1.0
-0.14292605,-0.80595946,0.07256629,-0.9983134,-0.9999788,-0.26554564,0.9999676,3.936574e-05,2.345705e-09,8.210538e-09,2.1127445e-07,5.0040985e-09,1.0541709e-09,4.3497803e-11,3.1948652e-11,0.0010302553,5.2683697e-07,1.216706e-09,0.9997137,8.623564e-07,3.8515204e-09,8.888297e-09,1.2258675e-09,4.4259423e-06,1.2862488e-11,8.723704e-08,1.1557647e-07,1.3911826e-08,5.101373e-07,2.3478092e-06,1.0352835e-06,3.254813e-13,0.9946725,1.9034733e-08,0.0043958183,5.860407e-11,1.6476745e-11,2.9083697e-11,8.183325e-11,4.1369593e-13,2.0780477e-10,0.9997762,6.98834e-07,9.312124e-05,3.845841e-08,3.3923975e-06,9.0077085e-10,8.3152486e-07,1.0108432e-06,7.1579165e-09,1.4497595e-10,6.0519345e-09,2.752206e-09,5.537165e-12,1.951512e-10,3.2322294e-11,0.00021736237,0.9956174,0.0048010917,4.980346e-11,3.7336964e-10,3.6630532e-13,0.9999896,7.6398345e-09,8.457534e-11,2.984773e-10,5.9926073e-09,3.592498e-13,3.6428513e-11,1.0,4.6222824e-13,1.0,1.33753815e-11,3.228862e-09,5.25965e-08,3.469724e-09,2.1573302e-11,4.3693896e-10,1.1088221e-11,1.6332378e-11,1.6740527e-11,8.873344e-12,2.1553518e-11,7.339239e-10,2.5299268e-11,1.2665617e-10,1.2769288e-10,8.7250934e-10,2.22114e-09,4.466732e-10,1.110509e-11,2.2528153e-09,6.568066e-11,1.4217212e-10,1.3311888e-10,2.3818196e-11,7.178291e-12,1.6131507e-08,1.8385592e-11,6.099674e-11,6.0769945e-11,2.677929e-09,2.5303817e-10,1.0507267e-08,4.357206e-10,5.967391e-12,8.688433e-12,1.4656273e-07,3.56116e-11,3.751301e-09,1.724168e-11,4.1272885e-13,2.061831e-08,1.0,0.0
-0.33352542,-0.83478487,0.07032299,-0.99866086,-0.99618214,-0.29878643,0.99997187,3.5921814e-05,7.04307e-10,7.759681e-10,1.8666485e-07,2.2520292e-09,8.286756e-11,3.744047e-12,1.8224352e-12,0.00019532257,2.0918854e-07,1.3001833e-10,0.99982685,4.901112e-07,5.9409244e-10,5.979668e-10,1.2954898e-10,1.762495e-06,8.529209e-13,1.5698422e-08,2.0604393e-08,1.4447087e-09,1.6908227e-07,6.0992403e-07,1.7749319e-07,1.5146155e-14,0.99997425,1.5461254e-09,1.7062684e-05,5.2002764e-12,1.2531662e-12,1.9587335e-12,5.8876072e-12,2.1744171e-14,5.8245557e-12,0.9999937,3.6529366e-09,5.787005e-07,5.9216756e-08,1.927898e-07,4.3730557e-11,7.3553906e-08,2.5467743e-08,2.7783864e-10,6.375268e-12,3.1788322e-10,6.043093e-11,3.3483462e-13,1.9130794e-11,2.671716e-12,1.5595078e-05,0.9999858,5.350046e-06,1.9757232e-12,6.244597e-11,1.9560656e-14,0.99999714,2.653296e-09,8.629539e-12,4.070861e-11,5.542718e-10,1.8001503e-14,5.768026e-13,1.0,2.6642481e-14,1.0,8.583947e-13,6.726097e-10,1.2370508e-08,1.162744e-09,1.8179565e-12,4.8784688e-11,6.4808255e-13,4.0691044e-12,1.4708087e-12,5.8828447e-13,1.5123625e-12,1.438192e-10,1.3687237e-12,9.746856e-12,8.4391105e-12,1.2985103e-10,4.6361517e-10,1.15815066e-10,8.556893e-13,4.9655896e-10,4.1846964e-12,6.307908e-12,1.311868e-11,2.4054125e-12,4.5728335e-13,3.6054724e-09,1.225536e-12,6.27977e-12,9.659539e-12,1.8354768e-10,1.8789133e-11,3.6936356e-09,6.040581e-11,4.170591e-13,6.279802e-13,1.8075743e-07,2.1788905e-12,4.703667e-10,1.2121663e-12,2.2119054e-14,1.1171774e-08,1.0,0.0
-0.16711625,-0.8037901,0.062326353,-0.99991155,-0.9995117,0.29675132,1.9358028e-08,1.0,6.50638e-12,4.6233097e-11,1.1021575e-10,4.1576192e-10,6.783949e-13,2.8900303e-13,2.9455433e-12,0.00036746202,2.46225e-06,2.7769887e-13,0.9996728,3.2323758e-08,1.0110528e-11,5.3647543e-13,1.4031062e-10,5.456697e-08,1.2033222e-13,2.6345164e-09,1.7001608e-09,7.560687e-12,3.8937635e-09,1.5789801e-08,7.162863e-07,2.709606e-15,0.99999964,5.0986393e-10,2.2040311e-07,5.1881074e-13,5.6766305e-13,9.5552804e-14,2.542857e-12,1.7431845e-15,2.3480937e-14,2.4439157e-09,1.260679e-13,1.0,1.8334055e-10,7.049504e-11,6.459747e-13,5.858055e-13,1.8784682e-05,1.0519138e-12,2.1061721e-13,5.942868e-12,4.0149396e-15,4.1532438e-14,1.0483855e-10,7.850154e-12,2.458793e-07,0.99999976,1.455626e-07,2.1250497e-12,4.5221565e-12,1.520479e-15,0.9998776,7.3092363e-09,5.041605e-13,4.5547626e-13,1.2116314e-10,1.3946845e-15,8.034335e-09,1.0,3.0960496e-15,1.0,9.85247e-14,6.1114475e-11,6.000298e-11,1.9186237e-10,8.069145e-14,3.4099643e-11,3.774303e-13,1.171149e-12,1.5167034e-13,5.2814378e-14,1.5408291e-13,1.06624215e-11,1.1161768e-11,1.1678856e-12,8.668201e-13,1.2394023e-13,3.3054906e-12,1.4905736e-10,9.2218815e-14,8.1067635e-12,1.024337e-12,1.8730755e-13,3.8821338e-10,7.412054e-14,5.162214e-14,1.632938e-12,1.4426433e-13,2.2171991e-13,5.8112444e-14,1.3783003e-10,4.4485327e-12,2.8463928e-12,8.2392496e-12,7.2164334e-14,2.03828e-12,8.384453e-11,2.687533e-13,5.2865633e-12,1.5174819e-13,1.9609471e-15,1.206785e-11,1.0,0.0
-0.7836422,-0.76958966,0.14290857,-0.9777214,-0.9999962,-0.20645864,1.0,1.4765744e-11,6.045339e-08,3.1866687e-06,1.1092241e-07,2.314787e-06,3.5348108e-10,9.599178e-10,1.2889492e-09,0.0007640404,0.5482695,2.4066015e-08,0.45405042,9.951919e-08,6.649422e-10,4.633865e-09,2.0666263e-08,5.2862994e-09,1.9214383e-08,4.18279e-08,2.677987e-07,9.048368e-09,1.3289355e-07,1.0618439e-08,3.262995e-08,1.6706525e-11,0.00012000664,1.422769e-07,0.9998671,2.4344332e-10,1.0629998e-10,4.644631e-10,1.5292205e-09,1.3727165e-11,6.535354e-10,1.2312594e-09,7.545018e-11,0.0013940332,4.743149e-12,2.2817252e-08,5.3551554e-09,4.3904342e-07,1.0,5.213722e-09,5.1081126e-09,5.449269e-09,7.737999e-10,1.5745036e-10,1.9037056e-08,2.6421907e-09,0.95694757,0.00013438682,0.04011806,1.2459633e-05,6.5465635e-08,1.4690684e-11,0.999992,4.5477486e-06,4.7323734e-10,8.8702556e-10,1.1876043e-07,1.5436546e-11,0.00071014056,0.9992384,2.0076987e-11,1.0,2.5418945e-10,1.5948639e-09,1.1176015e-08,6.5337e-09,5.86627e-10,2.662153e-08,2.0426508e-08,5.468195e-10,3.9846781e-10,4.2728485e-10,8.5742397e-10,2.3325795e-06,6.3103634e-08,5.9865637e-09,2.7021581e-08,7.3880324e-10,1.7757694e-08,3.952534e-06,4.337769e-10,7.696554e-09,2.383067e-09,6.5406786e-10,1.6470267e-08,4.4505058e-10,2.1552625e-10,3.4687028e-10,6.4009226e-10,1.5866264e-09,1.3546689e-10,9.416233e-08,3.518581e-09,5.3877764e-09,2.1017792e-08,2.3272409e-10,1.323625e-08,4.329134e-09,2.5427638e-09,3.7515818e-08,5.493776e-10,1.7335957e-11,6.0920556e-08,1.0,0.0
-0.59322476,-0.6848058,0.19889788,-0.99915487,-1.0,-0.3583781,1.0,3.9904612e-16,3.049882e-11,6.678077e-08,5.6192294e-11,5.1774913e-09,1.4742324e-12,4.054632e-12,8.267017e-12,0.00010220762,0.99767286,2.0313157e-10,0.00075298216,5.540002e-10,1.9338958e-11,9.283735e-11,1.4747176e-10,1.0067693e-11,3.9688988e-11,1.8429989e-09,4.9049316e-07,3.1078713e-11,6.614106e-10,5.178918e-11,1.2747734e-09,1.3746533e-14,3.087471e-10,1.1483365e-09,1.0,7.274174e-13,5.4943127e-13,1.90274e-12,8.118194e-13,2.3879114e-14,3.7396436e-12,1.2443701e-12,0.0008528429,2.5125496e-07,6.9989623e-09,4.6369855e-09,3.8288817e-12,1.6702049e-09,0.99871576,2.8128304e-11,3.2159088e-11,1.9586083e-10,6.597909e-12,2.4376494e-13,1.6534357e-11,8.6576146e-12,3.9647628e-07,2.3556843e-10,0.9999989,1.17457885e-05,4.767507e-10,1.7811268e-14,0.99999976,7.976528e-07,7.0563173e-13,1.8260608e-12,2.237899e-09,1.6242294e-14,0.99923754,0.0008995591,2.5602721e-14,1.0,5.8628276e-13,1.1469513e-12,3.663382e-09,1.4462196e-09,1.4090694e-12,8.71957e-10,5.9529026e-10,2.7791309e-12,2.423802e-12,1.6762149e-12,2.8962067e-12,2.22317e-09,1.3529801e-10,3.8301036e-11,1.608663e-10,6.727716e-13,1.5553255e-11,3.709622e-08,1.5002584e-12,2.406601e-12,4.88463e-12,2.7426396e-11,1.0265031e-10,1.775891e-12,6.6501476e-13,1.5026346e-13,1.5294924e-12,2.4872038e-12,2.5663101e-14,1.715239e-08,1.811871e-12,6.500265e-12,3.7960685e-10,6.165956e-13,1.8887233e-10,7.361057e-13,1.007653e-11,4.2873285e-11,1.2727623e-12,1.7906644e-14,6.534207e-10,1.0,0.0
-0.53995484,-0.53641593,0.19795609,-0.99999964,-1.0,-0.15592024,1.0,3.711249e-12,2.7530589e-11,2.1247786e-08,8.306456e-11,3.1023573e-11,6.038654e-12,1.8201979e-12,1.0533353e-12,3.2736007e-06,0.9999951,2.400764e-09,2.3271632e-08,5.7708928e-11,5.0607418e-12,2.2139929e-08,2.316415e-12,2.1129463e-11,4.22123e-11,1.01630065e-10,8.991393e-08,1.8276993e-11,7.634445e-09,6.113829e-10,9.264512e-10,5.2170085e-15,1.9643849e-10,2.0728301e-10,1.0,3.100402e-13,2.578637e-13,1.1632081e-12,1.6930446e-13,4.131735e-15,2.9795385e-11,0.001497662,0.9951828,3.792222e-05,9.263871e-06,2.0125683e-05,9.046064e-11,3.924409e-08,0.00027755476,2.8928968e-10,3.9255415e-11,1.5070628e-10,3.7992556e-10,1.06384804e-13,2.4588776e-13,2.555224e-13,1.013938e-07,1.7211099e-10,0.99999976,2.0604627e-06,7.752606e-11,5.7213755e-15,0.9999993,2.6742356e-07,2.9650902e-13,8.169438e-13,2.6875166e-10,3.4775713e-15,1.2506953e-07,0.9999999,6.0265865e-15,1.0,2.5396563e-13,2.0141848e-11,8.133465e-08,1.1728234e-08,8.425629e-13,2.5074168e-10,8.2913246e-11,1.8209097e-12,1.1864308e-12,2.308074e-13,1.478036e-12,2.8127433e-12,6.647571e-10,5.643221e-12,2.1875418e-10,7.994853e-12,4.3915618e-11,1.1608207e-09,8.6317563e-13,6.3488716e-13,2.9497598e-12,4.3419823e-10,2.5455126e-11,5.85314e-13,2.311312e-13,9.0431395e-13,4.2642116e-13,2.940822e-12,1.02855685e-14,1.8216985e-08,1.4715606e-12,9.44467e-12,1.0911886e-10,1.6204675e-13,2.883096e-11,6.3405885e-11,2.8173876e-12,1.66095e-10,2.660106e-13,4.7205515e-15,1.0133286e-08,1.0,0.0
