
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 0 | Cost: 2.305993
Step Index: 100 | Cost: 2.300894
Step Index: 200 | Cost: 2.298165
Step Index: 300 | Cost: 2.310984
Step Index: 400 | Cost: 2.297342
Step Index: 500 | Cost: 2.308813
Step Index: 600 | Cost: 2.292879
Step Index: 700 | Cost: 2.305387
Step Index: 800 | Cost: 2.300462
Step Index: 900 | Cost: 2.297077
Step Index: 1000 | Cost: 2.290381
Step Index: 1100 | Cost: 2.295785
Step Index: 1200 | Cost: 2.291275
Step Index: 1300 | Cost: 2.284867
Step Index: 1400 | Cost: 2.297455
Step Index: 1500 | Cost: 2.281030
Step Index: 1600 | Cost: 2.292071
Step Index: 1700 | Cost: 2.290362
Step Index: 1800 | Cost: 2.291857
Step Index: 1900 | Cost: 2.279051
Step Index: 2000 | Cost: 2.283153
Step Index: 2100 | Cost: 2.292653
Step Index: 2200 | Cost: 2.308309
Step Index: 2300 | Cost: 2.279083
Step Index: 2400 | Cost: 2.293988
Step Index: 2500 | Cost: 2.302701
Step Index: 2600 | Cost: 2.303154
Step Index: 2700 | Cost: 2.293932
Step Index: 2800 | Cost: 2.293909
Step Index: 2900 | Cost: 2.297843
Step Index: 3000 | Cost: 2.288698
Step Index: 3100 | Cost: 2.276298
Step Index: 3200 | Cost: 2.293234
Step Index: 3300 | Cost: 2.301176
Step Index: 3400 | Cost: 2.295815
Step Index: 3500 | Cost: 2.287406
Step Index: 3600 | Cost: 2.302815
Step Index: 3700 | Cost: 2.296442
Step Index: 3800 | Cost: 2.301984
Step Index: 3900 | Cost: 2.301594
Step Index: 4000 | Cost: 2.294020
Step Index: 4100 | Cost: 2.289937
Step Index: 4200 | Cost: 2.262843
Step Index: 4300 | Cost: 2.292194
Step Index: 4400 | Cost: 2.287768
Step Index: 4500 | Cost: 2.272217
Step Index: 4600 | Cost: 2.294459
Step Index: 4700 | Cost: 2.267442
Step Index: 4800 | Cost: 2.264715
Step Index: 4900 | Cost: 2.282520
Step Index: 5000 | Cost: 2.282237
Step Index: 5100 | Cost: 2.292317
Step Index: 5200 | Cost: 2.286269
Step Index: 5300 | Cost: 2.274655
Step Index: 5400 | Cost: 2.282368
Step Index: 5500 | Cost: 2.260099
Step Index: 5600 | Cost: 2.287233
Step Index: 5700 | Cost: 2.278711
Step Index: 5800 | Cost: 2.292170
Step Index: 5900 | Cost: 2.267591
Step Index: 6000 | Cost: 2.264384
Step Index: 6100 | Cost: 2.276290
Step Index: 6200 | Cost: 2.267497
Step Index: 6300 | Cost: 2.266108
Step Index: 6400 | Cost: 2.255960
Step Index: 6500 | Cost: 2.297590
Step Index: 6600 | Cost: 2.244867
Step Index: 6700 | Cost: 2.258831
Step Index: 6800 | Cost: 2.243856
Step Index: 6900 | Cost: 2.292835
Step Index: 7000 | Cost: 2.262020
Step Index: 7100 | Cost: 2.247603
Step Index: 7200 | Cost: 2.271350
Step Index: 7300 | Cost: 2.260041
Step Index: 7400 | Cost: 2.297625
Step Index: 7500 | Cost: 2.291053
Step Index: 7600 | Cost: 2.303476
Step Index: 7700 | Cost: 2.277635
Step Index: 7800 | Cost: 2.280756
Step Index: 7900 | Cost: 2.261355
Step Index: 8000 | Cost: 2.258260
Step Index: 8100 | Cost: 2.286240
Step Index: 8200 | Cost: 2.228683
Step Index: 8300 | Cost: 2.278506
Step Index: 8400 | Cost: 2.279015
Step Index: 8500 | Cost: 2.283320
Step Index: 8600 | Cost: 2.262669
Step Index: 8700 | Cost: 2.284633
Step Index: 8800 | Cost: 2.270917
Step Index: 8900 | Cost: 2.261223
Step Index: 9000 | Cost: 2.250206
Step Index: 9100 | Cost: 2.283067
Step Index: 9200 | Cost: 2.257462
Step Index: 9300 | Cost: 2.252420
Step Index: 9400 | Cost: 2.256153
Step Index: 9500 | Cost: 2.275582
Step Index: 9600 | Cost: 2.293555
Step Index: 9700 | Cost: 2.246991
Step Index: 9800 | Cost: 2.266295
Step Index: 9900 | Cost: 2.252835
Step Index: 10000 | Cost: 2.241677
Step Index: 10100 | Cost: 2.239872
Step Index: 10200 | Cost: 2.236226
Step Index: 10300 | Cost: 2.239969
Step Index: 10400 | Cost: 2.291102
Step Index: 10500 | Cost: 2.270331
Step Index: 10600 | Cost: 2.255689
Step Index: 10700 | Cost: 2.262899
Step Index: 10800 | Cost: 2.274272
Step Index: 10900 | Cost: 2.271169
Step Index: 11000 | Cost: 2.335887
Step Index: 11100 | Cost: 2.282995
Step Index: 11200 | Cost: 2.263646
Step Index: 11300 | Cost: 2.251151
Step Index: 11400 | Cost: 2.284196
Step Index: 11500 | Cost: 2.231718
Step Index: 11600 | Cost: 2.278082
Step Index: 11700 | Cost: 2.297245
Step Index: 11800 | Cost: 2.236461
Step Index: 11900 | Cost: 2.258756
Step Index: 12000 | Cost: 2.215525
Step Index: 12100 | Cost: 2.242007
Step Index: 12200 | Cost: 2.244461
Step Index: 12300 | Cost: 2.219264
Step Index: 12400 | Cost: 2.253794
Step Index: 12500 | Cost: 2.269872
Step Index: 12600 | Cost: 2.240936
Step Index: 12700 | Cost: 2.224665
Step Index: 12800 | Cost: 2.218704
Step Index: 12900 | Cost: 2.223759
Step Index: 13000 | Cost: 2.277859
Step Index: 13100 | Cost: 2.289614
Step Index: 13200 | Cost: 2.297835
Step Index: 13300 | Cost: 2.264933
Step Index: 13400 | Cost: 2.262721
Step Index: 13500 | Cost: 2.236523
Step Index: 13600 | Cost: 2.278433
Step Index: 13700 | Cost: 2.216272
Step Index: 13800 | Cost: 2.242082
Step Index: 13900 | Cost: 2.183727
Step Index: 14000 | Cost: 2.247110
Step Index: 14100 | Cost: 2.242396
Step Index: 14200 | Cost: 2.261409
