
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 0 | Cost: 2.302586
Step Index: 100 | Cost: 2.302615
Step Index: 200 | Cost: 2.302829
Step Index: 300 | Cost: 2.302649
Step Index: 400 | Cost: 2.302845
Step Index: 500 | Cost: 2.302577
Step Index: 600 | Cost: 2.302440
Step Index: 700 | Cost: 2.302882
Step Index: 800 | Cost: 2.302719
Step Index: 900 | Cost: 2.302836
Step Index: 1000 | Cost: 2.302594
Step Index: 1100 | Cost: 2.302450
Step Index: 1200 | Cost: 2.302487
Step Index: 1300 | Cost: 2.302421
Step Index: 1400 | Cost: 2.302451
Step Index: 1500 | Cost: 2.302535
Step Index: 1600 | Cost: 2.303273
Step Index: 1700 | Cost: 2.302707
Step Index: 1800 | Cost: 2.302297
Step Index: 1900 | Cost: 2.302917
Step Index: 2000 | Cost: 2.302506
Step Index: 2100 | Cost: 2.302590
Step Index: 2200 | Cost: 2.302372
Step Index: 2300 | Cost: 2.303113
Step Index: 2400 | Cost: 2.302505
Step Index: 2500 | Cost: 2.302616
Step Index: 2600 | Cost: 2.302948
Step Index: 2700 | Cost: 2.302767
Step Index: 2800 | Cost: 2.302261
Step Index: 2900 | Cost: 2.302065
Step Index: 3000 | Cost: 2.302449
Step Index: 3100 | Cost: 2.303478
Step Index: 3200 | Cost: 2.302939
Step Index: 3300 | Cost: 2.302114
Step Index: 3400 | Cost: 2.303093
Step Index: 3500 | Cost: 2.302513
Step Index: 3600 | Cost: 2.302913
Step Index: 3700 | Cost: 2.303229
Step Index: 3800 | Cost: 2.302700
Step Index: 3900 | Cost: 2.303034
Step Index: 4000 | Cost: 2.302511
Step Index: 4100 | Cost: 2.302638
Step Index: 4200 | Cost: 2.302723
Step Index: 4300 | Cost: 2.302433
Step Index: 4400 | Cost: 2.302894
Step Index: 4500 | Cost: 2.302790
Step Index: 4600 | Cost: 2.302913
Step Index: 4700 | Cost: 2.303028
Step Index: 4800 | Cost: 2.302917
Step Index: 4900 | Cost: 2.302385
Step Index: 5000 | Cost: 2.302337
Step Index: 5100 | Cost: 2.302709
Step Index: 5200 | Cost: 2.302683
Step Index: 5300 | Cost: 2.302695
Step Index: 5400 | Cost: 2.303050
Step Index: 5500 | Cost: 2.302574
Step Index: 5600 | Cost: 2.302762
Step Index: 5700 | Cost: 2.302534
Step Index: 5800 | Cost: 2.302338
Step Index: 5900 | Cost: 2.302724
Step Index: 6000 | Cost: 2.302456
