
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 0 | Cost: 2.302586
Step Index: 100 | Cost: 2.302642
Step Index: 200 | Cost: 2.302592
Step Index: 300 | Cost: 2.302578
Step Index: 400 | Cost: 2.303127
Step Index: 500 | Cost: 2.302760
Step Index: 600 | Cost: 2.302677
Step Index: 700 | Cost: 2.302628
Step Index: 800 | Cost: 2.303068
Step Index: 900 | Cost: 2.302985
Step Index: 1000 | Cost: 2.302307
Step Index: 1100 | Cost: 2.302715
Step Index: 1200 | Cost: 2.301510
Step Index: 1300 | Cost: 2.303247
Step Index: 1400 | Cost: 2.303582
Step Index: 1500 | Cost: 2.302799
Step Index: 1600 | Cost: 2.302854
Step Index: 1700 | Cost: 2.302979
Step Index: 1800 | Cost: 2.303382
Step Index: 1900 | Cost: 2.302985
Step Index: 2000 | Cost: 2.302409
Step Index: 2100 | Cost: 2.302745
Step Index: 2200 | Cost: 2.302629
Step Index: 2300 | Cost: 2.301851
Step Index: 2400 | Cost: 2.301516
Step Index: 2500 | Cost: 2.303319
Step Index: 2600 | Cost: 2.302463
Step Index: 2700 | Cost: 2.302111
Step Index: 2800 | Cost: 2.301784
Step Index: 2900 | Cost: 2.303085
Step Index: 3000 | Cost: 2.303084
Step Index: 3100 | Cost: 2.301604
Step Index: 3200 | Cost: 2.302847
Step Index: 3300 | Cost: 2.305193
Step Index: 3400 | Cost: 2.303194
Step Index: 3500 | Cost: 2.302631
Step Index: 3600 | Cost: 2.302389
Step Index: 3700 | Cost: 2.301512
Step Index: 3800 | Cost: 2.303394
Step Index: 3900 | Cost: 2.303201
Step Index: 4000 | Cost: 2.302269
Step Index: 4100 | Cost: 2.302575
Step Index: 4200 | Cost: 2.302912
Step Index: 4300 | Cost: 2.302127
Step Index: 4400 | Cost: 2.302067
Step Index: 4500 | Cost: 2.302124
Step Index: 4600 | Cost: 2.304658
Step Index: 4700 | Cost: 2.302991
Step Index: 4800 | Cost: 2.303044
Step Index: 4900 | Cost: 2.302157
Step Index: 5000 | Cost: 2.303778
Step Index: 5100 | Cost: 2.301480
Step Index: 5200 | Cost: 2.303906
Step Index: 5300 | Cost: 2.302520
Step Index: 5400 | Cost: 2.303762
Step Index: 5500 | Cost: 2.302400
Step Index: 5600 | Cost: 2.302066
Step Index: 5700 | Cost: 2.301932
Step Index: 5800 | Cost: 2.300170
Step Index: 5900 | Cost: 2.302949
Step Index: 6000 | Cost: 2.302323
Step Index: 6100 | Cost: 2.302096
Step Index: 6200 | Cost: 2.304431
Step Index: 6300 | Cost: 2.303980
Step Index: 6400 | Cost: 2.303413
Step Index: 6500 | Cost: 2.303314
Step Index: 6600 | Cost: 2.301801
Step Index: 6700 | Cost: 2.301407
Step Index: 6800 | Cost: 2.303400
Step Index: 6900 | Cost: 2.303761
Step Index: 7000 | Cost: 2.302160
Step Index: 7100 | Cost: 2.302840
Step Index: 7200 | Cost: 2.303378
Step Index: 7300 | Cost: 2.303258
Step Index: 7400 | Cost: 2.304409
Step Index: 7500 | Cost: 2.303266
Step Index: 7600 | Cost: 2.302739
Step Index: 7700 | Cost: 2.303216
Step Index: 7800 | Cost: 2.303414
Step Index: 7900 | Cost: 2.303409
Step Index: 8000 | Cost: 2.302835
Step Index: 8100 | Cost: 2.301971
Step Index: 8200 | Cost: 2.302782
Step Index: 8300 | Cost: 2.302571
Step Index: 8400 | Cost: 2.302739
Step Index: 8500 | Cost: 2.303145
Step Index: 8600 | Cost: 2.302939
Step Index: 8700 | Cost: 2.301700
Step Index: 8800 | Cost: 2.302821
Step Index: 8900 | Cost: 2.303197
Step Index: 9000 | Cost: 2.303268
Step Index: 9100 | Cost: 2.302970
Step Index: 9200 | Cost: 2.303727
Step Index: 9300 | Cost: 2.302844
Step Index: 9400 | Cost: 2.304100
Step Index: 9500 | Cost: 2.302598
Step Index: 9600 | Cost: 2.303370
Step Index: 9700 | Cost: 2.302916
Step Index: 9800 | Cost: 2.302141
Step Index: 9900 | Cost: 2.302307
Step Index: 10000 | Cost: 2.302403
Step Index: 10100 | Cost: 2.301921
Step Index: 10200 | Cost: 2.302673
Step Index: 10300 | Cost: 2.303139
Step Index: 10400 | Cost: 2.301864
Step Index: 10500 | Cost: 2.303735
Step Index: 10600 | Cost: 2.302877
Step Index: 10700 | Cost: 2.302629
Step Index: 10800 | Cost: 2.303316
Step Index: 10900 | Cost: 2.303747
Step Index: 11000 | Cost: 2.302960
Step Index: 11100 | Cost: 2.302148
Step Index: 11200 | Cost: 2.301324
Step Index: 11300 | Cost: 2.304633
Step Index: 11400 | Cost: 2.303044
Step Index: 11500 | Cost: 2.302097
Step Index: 11600 | Cost: 2.302402
Step Index: 11700 | Cost: 2.301721
Step Index: 11800 | Cost: 2.302454
Step Index: 11900 | Cost: 2.303404
Step Index: 12000 | Cost: 2.302614
Step Index: 12100 | Cost: 2.301999
Step Index: 12200 | Cost: 2.303460
Step Index: 12300 | Cost: 2.303235
Step Index: 12400 | Cost: 2.302141
Step Index: 12500 | Cost: 2.301590
Step Index: 12600 | Cost: 2.303786
Step Index: 12700 | Cost: 2.301213
Step Index: 12800 | Cost: 2.302395
Step Index: 12900 | Cost: 2.305127
Step Index: 13000 | Cost: 2.300992
Step Index: 13100 | Cost: 2.303319
Step Index: 13200 | Cost: 2.303383
Step Index: 13300 | Cost: 2.302492
Step Index: 13400 | Cost: 2.301426
Step Index: 13500 | Cost: 2.302570
Step Index: 13600 | Cost: 2.303647
Step Index: 13700 | Cost: 2.304337
Step Index: 13800 | Cost: 2.300543
Step Index: 13900 | Cost: 2.303500
Step Index: 14000 | Cost: 2.303168
Step Index: 14100 | Cost: 2.303073
Step Index: 14200 | Cost: 2.302015
Step Index: 14300 | Cost: 2.301846
Step Index: 14400 | Cost: 2.302252
Step Index: 14500 | Cost: 2.301162
Step Index: 14600 | Cost: 2.300669
Step Index: 14700 | Cost: 2.301037
Step Index: 14800 | Cost: 2.301328
Step Index: 14900 | Cost: 2.300814
Step Index: 15000 | Cost: 2.303557
Step Index: 15100 | Cost: 2.304557
Step Index: 15200 | Cost: 2.299949
Step Index: 15300 | Cost: 2.303121
Step Index: 15400 | Cost: 2.304166
Step Index: 15500 | Cost: 2.303759
Step Index: 15600 | Cost: 2.299732
Step Index: 15700 | Cost: 2.301673
Step Index: 15800 | Cost: 2.302985
Step Index: 15900 | Cost: 2.300752
Step Index: 16000 | Cost: 2.301107
Step Index: 16100 | Cost: 2.299656
Step Index: 16200 | Cost: 2.301547
Step Index: 16300 | Cost: 2.302139
Step Index: 16400 | Cost: 2.300933
Step Index: 16500 | Cost: 2.303893
