
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 0 | Cost: 2.304953
Step Index: 100 | Cost: 2.301024
Step Index: 200 | Cost: 2.302383
Step Index: 300 | Cost: 2.303580
Step Index: 400 | Cost: 2.299417
Step Index: 500 | Cost: 2.295866
Step Index: 600 | Cost: 2.297380
Step Index: 700 | Cost: 2.292783
Step Index: 800 | Cost: 2.295678
Step Index: 900 | Cost: 2.293885
Step Index: 1000 | Cost: 2.293457
Step Index: 1100 | Cost: 2.294465
Step Index: 1200 | Cost: 2.300469
Step Index: 1300 | Cost: 2.302011
Step Index: 1400 | Cost: 2.298278
Step Index: 1500 | Cost: 2.294156
Step Index: 1600 | Cost: 2.293665
Step Index: 1700 | Cost: 2.296029
Step Index: 1800 | Cost: 2.304376
Step Index: 1900 | Cost: 2.302102
Step Index: 2000 | Cost: 2.297584
Step Index: 2100 | Cost: 2.287205
Step Index: 2200 | Cost: 2.286148
Step Index: 2300 | Cost: 2.284670
Step Index: 2400 | Cost: 2.280910
Step Index: 2500 | Cost: 2.295041
Step Index: 2600 | Cost: 2.294462
Step Index: 2700 | Cost: 2.279064
Step Index: 2800 | Cost: 2.291485
Step Index: 2900 | Cost: 2.288096
Step Index: 3000 | Cost: 2.288375
Step Index: 3100 | Cost: 2.288306
Step Index: 3200 | Cost: 2.281410
Step Index: 3300 | Cost: 2.271352
Step Index: 3400 | Cost: 2.274624
Step Index: 3500 | Cost: 2.276690
Step Index: 3600 | Cost: 2.277746
Step Index: 3700 | Cost: 2.292880
Step Index: 3800 | Cost: 2.288824
Step Index: 3900 | Cost: 2.286741
Step Index: 4000 | Cost: 2.286530
Step Index: 4100 | Cost: 2.275391
Step Index: 4200 | Cost: 2.288835
Step Index: 4300 | Cost: 2.286865
Step Index: 4400 | Cost: 2.281901
Step Index: 4500 | Cost: 2.276320
Step Index: 4600 | Cost: 2.283225
Step Index: 4700 | Cost: 2.282759
Step Index: 4800 | Cost: 2.289680
Step Index: 4900 | Cost: 2.276738
Step Index: 5000 | Cost: 2.267924
Step Index: 5100 | Cost: 2.268151
Step Index: 5200 | Cost: 2.290487
Step Index: 5300 | Cost: 2.274389
Step Index: 5400 | Cost: 2.285838
Step Index: 5500 | Cost: 2.302398
Step Index: 5600 | Cost: 2.279601
Step Index: 5700 | Cost: 2.265076
Step Index: 5800 | Cost: 2.293736
Step Index: 5900 | Cost: 2.262486
Step Index: 6000 | Cost: 2.274837
Step Index: 6100 | Cost: 2.262895
Step Index: 6200 | Cost: 2.282141
Step Index: 6300 | Cost: 2.270296
Step Index: 6400 | Cost: 2.256434
Step Index: 6500 | Cost: 2.297129
Step Index: 6600 | Cost: 2.285381
Step Index: 6700 | Cost: 2.274246
Step Index: 6800 | Cost: 2.272743
Step Index: 6900 | Cost: 2.252027
Step Index: 7000 | Cost: 2.273428
Step Index: 7100 | Cost: 2.281803
Step Index: 7200 | Cost: 2.245581
Step Index: 7300 | Cost: 2.257878
Step Index: 7400 | Cost: 2.256948
Step Index: 7500 | Cost: 2.272674
Step Index: 7600 | Cost: 2.275306
Step Index: 7700 | Cost: 2.257917
Step Index: 7800 | Cost: 2.262553
Step Index: 7900 | Cost: 2.279054
Step Index: 8000 | Cost: 2.245796
Step Index: 8100 | Cost: 2.268939
Step Index: 8200 | Cost: 2.256475
Step Index: 8300 | Cost: 2.242542
Step Index: 8400 | Cost: 2.247583
Step Index: 8500 | Cost: 2.256042
Step Index: 8600 | Cost: 2.262928
Step Index: 8700 | Cost: 2.265291
Step Index: 8800 | Cost: 2.253236
Step Index: 8900 | Cost: 2.256846
Step Index: 9000 | Cost: 2.274813
Step Index: 9100 | Cost: 2.254270
Step Index: 9200 | Cost: 2.268028
Step Index: 9300 | Cost: 2.258596
Step Index: 9400 | Cost: 2.264134
Step Index: 9500 | Cost: 2.235036
Step Index: 9600 | Cost: 2.254183
Step Index: 9700 | Cost: 2.270407
Step Index: 9800 | Cost: 2.232173
Step Index: 9900 | Cost: 2.264463
Step Index: 10000 | Cost: 2.231036
Step Index: 10100 | Cost: 2.260825
Step Index: 10200 | Cost: 2.247169
Step Index: 10300 | Cost: 2.251251
Step Index: 10400 | Cost: 2.292594
Step Index: 10500 | Cost: 2.263901
Step Index: 10600 | Cost: 2.252863
Step Index: 10700 | Cost: 2.218567
Step Index: 10800 | Cost: 2.262006
Step Index: 10900 | Cost: 2.262535
Step Index: 11000 | Cost: 2.239297
Step Index: 11100 | Cost: 2.200438
Step Index: 11200 | Cost: 2.246145
Step Index: 11300 | Cost: 2.231302
Step Index: 11400 | Cost: 2.239656
Step Index: 11500 | Cost: 2.244916
Step Index: 11600 | Cost: 2.202207
Step Index: 11700 | Cost: 2.261154
Step Index: 11800 | Cost: 2.292125
Step Index: 11900 | Cost: 2.232647
Step Index: 12000 | Cost: 2.216736
Step Index: 12100 | Cost: 2.253109
Step Index: 12200 | Cost: 2.248216
Step Index: 12300 | Cost: 2.225898
Step Index: 12400 | Cost: 2.214108
Step Index: 12500 | Cost: 2.217291
Step Index: 12600 | Cost: 2.266796
Step Index: 12700 | Cost: 2.231982
Step Index: 12800 | Cost: 2.214482
Step Index: 12900 | Cost: 2.260537
Step Index: 13000 | Cost: 2.231339
Step Index: 13100 | Cost: 2.261473
Step Index: 13200 | Cost: 2.250114
Step Index: 13300 | Cost: 2.203820
Step Index: 13400 | Cost: 2.241942
Step Index: 13500 | Cost: 2.244717
Step Index: 13600 | Cost: 2.228536
Step Index: 13700 | Cost: 2.224805
Step Index: 13800 | Cost: 2.263211
Step Index: 13900 | Cost: 2.237439
Step Index: 14000 | Cost: 2.226574
Step Index: 14100 | Cost: 2.233215
Step Index: 14200 | Cost: 2.238831
Step Index: 14300 | Cost: 2.179498
Step Index: 14400 | Cost: 2.250325
Step Index: 14500 | Cost: 2.275045
Step Index: 14600 | Cost: 2.223948
Step Index: 14700 | Cost: 2.200330
Step Index: 14800 | Cost: 2.257935
Step Index: 14900 | Cost: 2.246250
Step Index: 15000 | Cost: 2.228494
Step Index: 15100 | Cost: 2.207464
Step Index: 15200 | Cost: 2.213224
Step Index: 15300 | Cost: 2.173738
Step Index: 15400 | Cost: 2.225068
Step Index: 15500 | Cost: 2.235981
Step Index: 15600 | Cost: 2.273784
Step Index: 15700 | Cost: 2.218466
Step Index: 15800 | Cost: 2.241712
Step Index: 15900 | Cost: 2.190089
Step Index: 16000 | Cost: 2.193853
Step Index: 16100 | Cost: 2.209401
Step Index: 16200 | Cost: 2.208260
Step Index: 16300 | Cost: 2.262262
Step Index: 16400 | Cost: 2.201623
Step Index: 16500 | Cost: 2.252245
Step Index: 16600 | Cost: 2.208770
Step Index: 16700 | Cost: 2.268506
Step Index: 16800 | Cost: 2.243650
Step Index: 16900 | Cost: 2.166636
Step Index: 17000 | Cost: 2.193324
Step Index: 17100 | Cost: 2.230747
Step Index: 17200 | Cost: 2.234243
Step Index: 17300 | Cost: 2.185785
Step Index: 17400 | Cost: 2.209770
Step Index: 17500 | Cost: 2.217249
Step Index: 17600 | Cost: 2.182758
Step Index: 17700 | Cost: 2.211940
Step Index: 17800 | Cost: 2.176956
Step Index: 17900 | Cost: 2.219345
Step Index: 18000 | Cost: 2.221769
Step Index: 18100 | Cost: 2.221169
Step Index: 18200 | Cost: 2.168609
Step Index: 18300 | Cost: 2.280281
Step Index: 18400 | Cost: 2.222600
Step Index: 18500 | Cost: 2.244969
Step Index: 18600 | Cost: 2.246006
Step Index: 18700 | Cost: 2.237610
Step Index: 18800 | Cost: 2.226831
Step Index: 18900 | Cost: 2.221709
Step Index: 19000 | Cost: 2.196979
Step Index: 19100 | Cost: 2.224501
Step Index: 19200 | Cost: 2.209390
Step Index: 19300 | Cost: 2.167099
Step Index: 19400 | Cost: 2.178521
Step Index: 19500 | Cost: 2.178135
Step Index: 19600 | Cost: 2.231732
Step Index: 19700 | Cost: 2.126685
Step Index: 19800 | Cost: 2.227767
Step Index: 19900 | Cost: 2.187494
Step Index: 20000 | Cost: 2.267074
Step Index: 20100 | Cost: 2.186236
Step Index: 20200 | Cost: 2.186532
Step Index: 20300 | Cost: 2.226741
Step Index: 20400 | Cost: 2.170014
Step Index: 20500 | Cost: 2.126607
Step Index: 20600 | Cost: 2.202301
Step Index: 20700 | Cost: 2.160347
Step Index: 20800 | Cost: 2.179775
Step Index: 20900 | Cost: 2.131292
Step Index: 21000 | Cost: 2.202056
Step Index: 21100 | Cost: 2.258862
Step Index: 21200 | Cost: 2.169164
Step Index: 21300 | Cost: 2.162906
Step Index: 21400 | Cost: 2.200166
Step Index: 21500 | Cost: 2.099031
Step Index: 21600 | Cost: 2.204700
Step Index: 21700 | Cost: 2.208605
Step Index: 21800 | Cost: 2.207929
Step Index: 21900 | Cost: 2.177202
Step Index: 22000 | Cost: 2.185351
Step Index: 22100 | Cost: 2.191494
Step Index: 22200 | Cost: 2.180136
Step Index: 22300 | Cost: 2.164270
Step Index: 22400 | Cost: 2.216128
Step Index: 22500 | Cost: 2.116871
Step Index: 22600 | Cost: 2.169979
Step Index: 22700 | Cost: 2.141227
Step Index: 22800 | Cost: 2.203374
Step Index: 22900 | Cost: 2.167713
Step Index: 23000 | Cost: 2.191955
Step Index: 23100 | Cost: 2.232032
Step Index: 23200 | Cost: 2.104112
Step Index: 23300 | Cost: 2.140892
Step Index: 23400 | Cost: 2.211524
Step Index: 23500 | Cost: 2.139679
Step Index: 23600 | Cost: 2.136370
Step Index: 23700 | Cost: 2.187729
Step Index: 23800 | Cost: 2.241456
Step Index: 23900 | Cost: 2.157843
Step Index: 24000 | Cost: 2.234548
Step Index: 24100 | Cost: 2.142896
Step Index: 24200 | Cost: 2.197662
Step Index: 24300 | Cost: 2.179740
Step Index: 24400 | Cost: 2.247951
Step Index: 24500 | Cost: 2.215919
Step Index: 24600 | Cost: 2.204540
Step Index: 24700 | Cost: 2.160222
Step Index: 24800 | Cost: 2.207490
Step Index: 24900 | Cost: 2.157167
Step Index: 25000 | Cost: 2.212352
Step Index: 25100 | Cost: 2.126133
Step Index: 25200 | Cost: 2.186651
Step Index: 25300 | Cost: 2.190729
Step Index: 25400 | Cost: 2.212606
Step Index: 25500 | Cost: 2.187774
Step Index: 25600 | Cost: 2.140503
Step Index: 25700 | Cost: 2.141148
Step Index: 25800 | Cost: 2.088321
Step Index: 25900 | Cost: 2.223811
Step Index: 26000 | Cost: 2.193772
Step Index: 26100 | Cost: 2.082015
Step Index: 26200 | Cost: 2.163604
Step Index: 26300 | Cost: 2.178416
Step Index: 26400 | Cost: 2.126532
Step Index: 26500 | Cost: 2.104985
Step Index: 26600 | Cost: 2.232871
Step Index: 26700 | Cost: 2.145688
Step Index: 26800 | Cost: 2.185884
Step Index: 26900 | Cost: 2.191637
Step Index: 27000 | Cost: 2.178932
Step Index: 27100 | Cost: 2.110110
Step Index: 27200 | Cost: 2.162930
Step Index: 27300 | Cost: 2.160292
Step Index: 27400 | Cost: 2.158567
Step Index: 27500 | Cost: 2.191654
Step Index: 27600 | Cost: 2.232244
Step Index: 27700 | Cost: 2.062262
